NCTId,type,name,description,arm_group_labels,other_names
NCT01956526,Device,CORollaTM TAA device,,"AVR and CORollaTM TAA Add On group, CORollaTM TAA Stand Alone",
NCT06467266,Diagnostic Test,Acute Haemodynamic Study,Multisite temporary pacing,Intervention,
NCT04435626,Drug,Finerenone (BAY94-8862),"For participants with an eGFR ≤60 mL/min/1.73 m\^2: Starting dose is 10 mg OD and maximum dose 20 mg OD.

For participants with an eGFR \>60 mL/min/1.73 m\^2: Starting dose is 20 mg OD and maximum dose 40 mg OD. Finerenone is administered orally as immediate release tablets.",Arm 1_BAY94-8862,
NCT04435626,Other,Placebo,Placebo tablets matching BAY94-8862 are administered orally.,Arm 2_Placebo,
NCT04847557,Drug,Tirzepatide,Administered SC,Tirzepatide,LY3298176
NCT04847557,Other,Placebo,Administered SC,Placebo,
NCT03620526,Drug,Iloprost,"Investigators performed cardiac catheterization as previously described. Hemodynamic values were recorded for the first exercise phase (before any drug administration) and after return to steady state baseline hemodynamic values, and the second exercise phase (after drug administration). Subjects were randomized 1:1 to inhalation of placebo (normal saline solution) or iloprost (50 mg/kg/min) (Bayer Pharmaceuticals, Scottsdale, Ari-zona) for 5 min. The iloprost/placebo inhalation were identical in appearance and prepared by the research pharmacy, ensuring double-blinding of inhalation content. After finishing inhalation process for 10 min, hemodynamic measurements were repeated at rest, followed by repeat supine exercise at a 20-W workload for 6 min, identical to the study's first phase.",Iloprost,
NCT03620526,Drug,Placebo,"Investigators performed cardiac catheterization as previously described. Hemodynamic values were recorded for the first exercise phase (before any drug administration) and after return to steady state baseline hemodynamic values, and the second exercise phase (after drug administration). Subjects were randomized 1:1 to inhalation of placebo (normal saline solution) or iloprost (50 mg/kg/min) (Bayer Pharmaceuticals, Scottsdale, Ari-zona) for 5 min. The iloprost/placebo inhalation were identical in appearance and prepared by the research pharmacy, ensuring double-blinding of inhalation content. After finishing inhalation process for 10 min, hemodynamic measurements were repeated at rest, followed by repeat supine exercise at a 20-W workload for 6 min, identical to the study's first phase.",Placebo,
NCT02713126,Drug,Placebo,"administered orally or inhaled, taken every 4 hours or 3 times per day during waking hours for 12 weeks",Placebo,
NCT02713126,Drug,Sodium Nitrite,"administered orally or inhaled, 40 mg, taken every 4 hours or 3 times per day during waking hours for 12 weeks",Sodium Nitrite,Nitrite
NCT02713126,Device,Accelerometer,"External triaxial accelerometer is worn externally at the hip during exercise training sessions, and day/night to continuously measure activity levels, removed for bathing only.","Placebo, Sodium Nitrite",
NCT02713126,Other,Cardiac Exercise Training,"Cardiac rehabilitation exercise training consisting of supervised endurance and strength exercise training of approximately one hour, 3 times per week for 12 weeks.","Placebo, Sodium Nitrite",
NCT04890548,Drug,AZD3427,"Patients will receive 5 IA infusions of AZD3427 into the brachial artery. The IA infusions of AZD3427 will be administered via a syringe pump, using a polypropylene syringe containing 0.9% (w/v) saline and delivered through an administration set comprising a syringe, extension tubing (PVC), and a 0.2- or 0.22-μm PVDF syringe filter.",Patients with HFpEF or HFrEF,
NCT03186833,Other,no intervention,no intervention,"Group A, Group B, Group C, Group D, Group E",
NCT06652087,Drug,Rifaximin,"Rifaximin (Alfa Normix®, Alfa Wassermann S.P.A., Italy, registration number LS-001993, 08/31/2010) in standard doses of 200 mg 3 times a day for 7 days",intervention group,Alfa Normix®
NCT06652087,Other,Standard HFpEF treatment,"diuretic, including an aldosterone antagonist; sodium-glucose cotransporter-2 inhibitor","control group, intervention group",
NCT06616233,Device,Remote Ischaemic Conditioning with exercise,"Participants will receive RIC through an automated device that will provide cycles on ischaemia/reperfusion to the target organ (arm). During the cuff deflation phase, participants will undergo handgrip exercise at 20-30% of their maximal voluntary contraction for 3 minutes. There will be a total of 4 cycles of exercise.",Remote Ischaemic Conditioning with Exercise,
NCT06616233,Device,Other: Remote Ischaemic Conditioning,Participants will receive RIC through an automated device that will provide cycles on ischaemia/reperfusion to the target organ (arm).. There will be a total of 4 cycles.,Remote Ischaemic Conditioning,
NCT05600387,Drug,Empagliflozin 10 MG,subjects in Empagliflozin group take 10mg Empagliflozin per day,Empagliflozin group,
NCT06532019,Other,Targeted intervention based on risk factors,"Correct hypoalbuminemia, anemia or hyponatremia, and try to enhance medication to lower NT-proBNP, CRP, NYHA Classification, to add diuretics for patients with higher RADs, multidiscipline intervention for patients complicating COPD, and actively reperfusion for ischemic HFpEF patients.",targeted intervention group,
NCT05577819,Diagnostic Test,99mTc-pyrophosphate Scintigraphy,Cardiac Imaging Technique used to diagnose Transthyretin Cardiac Amyloidosis by use of 15 mCi of 99mTC-Pyrophosphate tracer,Patients 65 and older with Heart Failure with Preserved Ejection Fraction,"PYP Scan, Pyrophosphate Scan"
NCT04996719,Drug,Rapamune,"We will start the dose at 0.5mg capsule every other day for 2 weeks. If participants tolerate this dose and trough blood levels are (≤4ng/mL), the dose of rapamycin will be increased to 0.5mg daily for the duration of the study. If necessary, dose can remain at 0.5 mg every other day, depending on the trough level. To avoid immunosuppression, we will target lower dose of rapamycin, maintain lower trough serum levels (≤4ng/mL).",Rapamycin,Rapamycin
NCT03988634,Drug,sacubitril/valsartan,"Sacubitril/valsartan (LCZ696) was available as 24/26 mg, 49/51 mg, and 97/103 mg in tablet form to be taken orally, twice daily",sacubitril/valsartan (LCZ696),LCZ696
NCT03988634,Drug,valsartan,"Valsartan was available as 40 mg, 80 mg, and 160 mg in tablet form to be taken orally, twice daily",valsartan,
NCT03988634,Drug,sacubitril/valsartan matching placebo,"Sacubitril/valsartan (LCZ696) matching placebo was available as tablet form to be taken orally, twice daily",valsartan,
NCT03988634,Drug,valsartan matching placebo,"Valsartan matching placebo was available as tablet form to be taken orally, twice daily",sacubitril/valsartan (LCZ696),
NCT06914141,Drug,Tirzepatide,New use of tirzepatide dispensing claim is used as the exposure.,Tirzepatide,
NCT06914141,Drug,Semaglutide,New use of semaglutide dispensing claim is used as the reference.,Semaglutide,
NCT06678841,Device,Personalized cardiac pacing,Personalized cardiac pacing treatment based each patient's height and baseline LVEF.,Personalized Pacing Therapy (Treatment Group),
NCT05284617,Drug,HU6,HU6 is being evaluated for its efficacy in improving cardiovascular function in obese subjects with HF with preserved ejection fraction (HFpEF).,Active Treatment: HU6 Planned doses of HU6; N = 31,
NCT05284617,Drug,Placebo,Placebo,Placebo Comparator Non-active study drug N = 31,
NCT01599117,Drug,Placebo,"Capsule, appears identical with udenafil, will be provided by Dong-A pharmaceutical company. Patients will receive 50 mg of placebo drug two times a day for 4 weeks, and then the dosage will be escalated to 100 mg two times a day for next 8 weeks.",Placebo arm,The same placebo drug of NCT01553721.
NCT01599117,Drug,Udenafil (Zydena),"Udenafil (Zydena), a newly developed PDE-5 inhibitor by Dong-A pharmaceutical company, will be administered to patients in this group, 50 mg two times a day for 4 weeks, and then the dosage will be escalated to 100 mg two times a day for next 8 weeks.",Udenafil,DA-8159 (CAS No 268203-93-6)
NCT01570517,Device,IASD System,Implantation of the DC Devices Inc. IASD System,Device implantation,
NCT06740539,Procedure,Catheter ablation of atrial fibrillation,Catheter ablation of atrial fibrillation,Ablation Group,
NCT00840463,Drug,Ambrisentan,Subjects will be initiated at 2.5 mg per day and increased to 5mg daily in 2 weeks and then 10mg daily if clinically tolerated (edema is controlled and symptoms are stable).,1,Letairis
NCT00840463,Other,Placebo,Sugar pill,2,The placebo will look identical to the Ambrisentan tablets
NCT05562063,Drug,Sotagliflozin,"Daily administration of sotagliflozin (2x200 mg, PO, OD) for 6 months.",Sotagliflozin,
NCT05562063,Drug,Placebo,Matching placebo for 6 months.,Placebo,
NCT06652763,Other,Minnesota Living with Heart Failure Questionnaire,"Self-administered, validated questionnaire to assess symptoms of heart failure","Controls, HFpEF with T2D, HFpEF without T2D",
NCT06652763,Diagnostic Test,Echocardiogram,Resting transthoracic echocardiogram to exclude valvular pathology and the assess indices of systolic and diastolic function and speckle tracking for strain,"Controls, HFpEF with T2D, HFpEF without T2D",
NCT06652763,Diagnostic Test,Six-minute walk test,"Standardised, objective assessment of exercise capacity","Controls, HFpEF with T2D, HFpEF without T2D",
NCT06652763,Diagnostic Test,Manganese-enhanced MRI and 31-P magnetic resonance spectroscopy,"Using a 3-Tesla scanner, 31P magnetic resonance spectroscopy will be performed to obtain information regarding cardiac energetics. An intravenous infusion of manganese dipyridoxyl diphosphate (mangafodipir, MnDPDP) will be commenced at a rate of 1mL/min using a dose of 5μmol/kg (0.1mL/kg).","Controls, HFpEF with T2D, HFpEF without T2D",
